Year-Month,Article_Word_Count,Headline_Word_Count,Article_bigram_count,Headline_bigram_count,Article_Nouns,Article_Verbs,Article_Adverbs,Article_Adjectives,Headline_Nouns,Headline_Verbs,Headline_Adverbs,Headline_Adjectives,Article_Noun-Noun,Article_Adjective-Noun,Article_Verb-Noun,Article_Noun-Verb,Article_Noun-Adjective,Article_Verb-Adjective,Headline_Noun-Noun,Headline_Adjective-Noun,Headline_Verb-Noun,Headline_Noun-Verb,Headline_Noun-Adjective,Headline_Verb-Adjective
6/1/2014,6397,57,6398,56,3151,1265,327,1334,33,14,0,10,943,937,374,318,435,433,13,5,7,4,2,6
7/1/2014,1478,19,1477,18,761,290,65,297,11,5,0,3,244,219,95,92,97,103,3,3,2,1,1,2
8/1/2014,2782,42,2784,41,1478,557,119,506,24,5,1,10,458,366,169,178,170,174,4,8,2,0,4,1
9/1/2014,5524,82,5524,81,2783,1103,230,1185,48,18,1,13,863,817,340,366,368,387,17,9,6,1,5,3
10/1/2014,10711,109,10716,108,5397,2126,521,2165,69,20,1,15,1666,1550,608,615,661,743,24,12,8,4,4,7
11/1/2014,12583,154,12582,153,6384,2498,582,2539,89,32,8,22,1927,1771,737,889,822,818,26,18,10,2,9,8
12/1/2014,14527,187,14526,186,7271,2956,691,2945,100,37,8,37,2108,2082,836,984,938,992,20,28,14,4,17,9
1/1/2015,28458,302,28465,301,14235,5765,1456,5748,165,69,9,50,4274,4029,1805,1724,1823,1874,44,39,21,10,17,19
2/1/2015,18577,218,18579,217,9341,3810,891,3680,121,47,5,42,2741,2629,1097,1274,1230,1229,33,29,13,8,12,15
3/1/2015,12512,143,12511,142,6307,2561,562,2558,82,31,7,16,1824,1797,756,950,874,820,17,10,13,2,4,6
4/1/2015,11811,151,11811,150,6016,2336,549,2443,79,31,3,35,1785,1748,632,903,821,778,20,20,11,3,8,10
5/1/2015,10564,148,10563,147,5376,2110,493,2134,92,26,6,20,1553,1486,580,889,713,658,25,16,13,4,8,6
6/1/2015,11822,157,11825,156,5948,2412,513,2453,93,33,2,22,1729,1726,711,875,866,759,21,18,16,5,13,6
7/1/2015,17212,160,17213,159,8328,3667,869,3581,91,29,5,32,2345,2516,1015,1285,1161,1188,27,26,10,4,14,10
8/1/2015,8896,118,8896,117,4534,1823,420,1736,75,26,1,13,1308,1241,576,679,614,541,23,9,9,5,3,5
9/1/2015,11852,155,11851,154,6039,2389,548,2361,88,39,4,21,1821,1664,711,870,822,739,28,18,12,1,7,7
10/1/2015,16184,203,16184,202,8228,3332,738,3200,108,42,11,37,2389,2300,975,1216,1075,1037,30,31,10,6,10,14
11/1/2015,10057,138,10058,137,5229,2008,416,1966,78,32,5,19,1572,1436,532,891,673,653,24,12,9,4,4,7
12/1/2015,13718,177,13717,176,7002,2778,610,2736,94,39,6,36,2052,1974,848,1080,999,842,21,23,15,4,15,8
1/1/2016,16278,150,16280,149,8106,3337,710,3328,75,35,6,32,2413,2360,962,1122,1045,1181,24,18,9,6,6,9
2/1/2016,13294,149,13295,148,6748,2761,619,2577,82,26,7,27,1946,1907,800,1043,872,865,27,23,9,2,9,9
3/1/2016,14897,191,14896,190,7775,2999,643,2903,108,48,8,27,2350,2053,922,1260,958,923,21,15,20,7,8,6
4/1/2016,16785,159,16786,158,8666,3538,760,3156,98,35,4,19,2643,2301,1082,1412,1033,1119,20,15,15,5,8,9
5/1/2016,9971,114,9973,113,5092,2164,460,1839,69,23,5,16,1547,1311,623,896,549,680,19,14,9,5,6,5
6/1/2016,8547,102,8547,101,4364,1782,356,1719,60,23,1,17,1241,1218,528,767,544,590,13,12,8,0,6,8
7/1/2016,11246,149,11246,148,5760,2308,516,2218,85,33,4,24,1668,1553,697,1049,699,702,22,15,11,4,5,12
8/1/2016,9142,161,9142,160,4794,1900,415,1735,77,40,12,28,1444,1237,587,875,573,578,11,19,10,10,2,6
9/1/2016,8140,120,8139,119,4237,1718,338,1537,68,22,6,23,1347,1131,511,781,487,568,18,17,7,4,8,7
10/1/2016,8924,137,8923,136,4585,1870,378,1742,73,24,5,30,1214,1210,552,908,546,569,7,21,5,3,7,11
11/1/2016,8239,119,8238,118,4239,1673,407,1599,60,34,3,21,1243,1113,505,695,481,523,7,13,12,1,3,10
12/1/2016,9683,149,9683,148,4962,1998,430,1873,79,36,4,26,1466,1304,575,870,583,615,20,22,11,4,7,12
1/1/2017,7267,114,7266,113,3736,1550,324,1387,62,25,7,20,1101,967,443,676,453,439,10,14,9,3,8,9
2/1/2017,7615,93,7615,92,3914,1607,367,1450,51,18,6,18,1145,1052,493,678,497,487,12,15,5,1,6,6
3/1/2017,12831,171,12830,170,6571,2701,525,2498,106,31,4,27,2024,1778,779,1044,764,886,28,19,11,1,9,11
4/1/2017,9551,110,9550,109,4869,1986,477,1793,63,25,3,16,1433,1289,552,863,564,618,19,13,4,4,3,6
5/1/2017,8310,119,8309,118,4309,1717,359,1568,67,26,5,19,1264,1087,492,735,493,532,13,12,5,4,4,8
6/1/2017,12082,156,12082,155,6168,2520,543,2365,82,43,5,23,1832,1656,740,998,756,784,18,18,12,4,5,10
7/1/2017,8115,119,8114,118,4172,1661,362,1589,73,24,5,16,1188,1117,455,715,514,539,15,13,7,2,10,4
8/1/2017,9987,137,9987,136,5143,2005,459,1966,79,25,1,29,1528,1419,550,765,653,647,26,20,12,4,12,7
9/1/2017,12179,160,12179,159,6264,2491,541,2440,88,38,1,32,1840,1741,726,1025,849,754,23,20,14,5,14,6
10/1/2017,8437,137,8437,136,4402,1783,353,1606,73,31,3,28,1268,1137,504,831,549,530,17,18,10,3,8,11
11/1/2017,9103,151,9102,150,4762,1902,359,1733,89,35,2,24,1400,1218,533,807,567,583,22,18,13,4,8,10
12/1/2017,7722,143,7722,142,4071,1618,318,1407,78,34,8,22,1241,996,439,749,452,485,27,14,10,2,4,7
1/1/2018,8557,128,8556,127,4390,1790,359,1638,69,29,3,22,1272,1159,500,713,544,555,17,16,11,4,5,6
2/1/2018,9180,93,9179,92,4537,2004,519,1739,52,13,6,21,1312,1226,586,752,538,637,7,16,6,1,10,3
3/1/2018,5974,91,5973,90,3082,1241,251,1160,50,22,2,16,900,839,313,526,395,394,8,10,6,3,7,2
4/1/2018,7704,107,7704,106,3994,1588,320,1486,52,24,2,24,1156,1078,478,604,499,503,9,18,7,1,5,9
5/1/2018,9705,151,9705,150,4968,1998,456,1883,84,33,5,25,1449,1326,594,774,606,634,18,18,14,3,7,9
6/1/2018,11674,154,11675,153,5877,2458,541,2253,89,41,0,23,1746,1630,706,901,706,829,12,16,15,7,11,7
7/1/2018,11717,140,11718,139,5919,2496,532,2292,77,24,4,30,1710,1642,759,940,708,809,20,25,6,1,10,11
8/1/2018,9231,149,9230,148,4757,1955,394,1807,87,30,4,23,1420,1284,594,862,576,648,21,15,11,2,10,7
9/1/2018,8965,131,8964,130,4487,1921,387,1803,69,30,4,25,1247,1299,564,763,614,637,12,17,10,3,6,10
10/1/2018,6371,92,6371,91,3179,1336,288,1328,48,19,4,18,917,951,385,603,418,471,9,15,5,3,9,4
11/1/2018,8932,111,8931,110,4516,1938,362,1705,62,24,1,19,1317,1247,559,689,556,620,11,15,2,1,2,12
12/1/2018,8626,89,8629,88,4398,1817,395,1626,45,24,2,18,1312,1198,560,542,540,562,5,15,5,6,7,8
1/1/2019,7357,88,7359,87,3733,1568,296,1487,45,25,3,13,1106,1065,461,624,505,527,10,10,5,4,3,7
2/1/2019,6977,75,6977,74,3528,1452,268,1476,37,23,1,13,1048,1032,375,561,505,494,5,11,3,1,5,5
3/1/2019,5674,75,5673,74,2870,1159,270,1197,35,20,2,18,812,833,330,527,406,377,6,13,5,3,6,9
4/1/2019,10662,93,10663,92,5466,2141,464,2113,51,18,4,18,1813,1457,659,700,673,702,11,15,5,4,4,7
5/1/2019,6493,71,6492,70,3244,1307,330,1270,43,12,1,11,987,921,352,453,391,443,12,7,4,2,4,3
6/1/2019,14054,153,14055,152,7033,2898,611,2828,84,45,4,17,2045,2016,812,1029,921,943,16,13,15,9,2,10
7/1/2019,11285,113,11285,112,5699,2277,521,2296,58,27,3,23,1703,1637,653,851,775,770,12,18,8,1,7,7
8/1/2019,8707,96,8706,95,4350,1732,451,1764,55,17,5,18,1299,1240,457,646,549,595,12,16,6,0,7,7
9/1/2019,14005,157,14006,156,7091,2846,662,2811,80,38,5,30,2157,1997,773,1004,878,1002,19,22,6,4,9,13
10/1/2019,7482,78,7481,77,3770,1538,359,1521,41,15,3,15,1112,1104,400,590,502,510,10,8,6,1,3,3
11/1/2019,8941,94,8940,93,4545,1844,398,1741,57,22,1,13,1289,1233,514,754,586,565,17,10,11,3,4,6
12/1/2019,7799,85,7798,84,3981,1580,342,1557,46,20,3,16,1172,1107,435,591,520,528,12,12,9,1,4,7
1/1/2020,9999,108,9998,107,5112,2045,408,2024,62,20,3,21,1492,1462,552,817,687,708,13,16,10,6,10,4
2/1/2020,15686,168,15687,167,7962,3127,701,3155,89,36,3,37,2325,2235,830,1069,1054,1039,14,31,10,4,19,10
3/1/2020,15407,145,15409,144,7624,3213,773,3022,85,33,1,24,2349,2167,903,971,963,1067,29,20,11,5,9,11
4/1/2020,16444,177,16449,176,8227,3327,891,3152,104,34,5,27,2457,2259,971,978,1028,1039,32,20,13,4,15,6
5/1/2020,13454,115,13457,114,6616,2763,800,2655,56,28,6,21,1937,1911,760,783,851,888,11,17,12,6,7,9
6/1/2020,7418,77,7419,76,3645,1551,393,1503,39,18,5,15,1115,1051,422,432,459,504,12,10,4,2,2,7
7/1/2020,10565,112,10566,111,5151,2170,606,2098,63,23,1,20,1504,1473,587,715,619,678,15,19,5,1,7,9
8/1/2020,8469,53,8469,52,4115,1805,470,1644,26,14,0,11,1219,1126,552,525,535,551,5,7,5,3,4,4
9/1/2020,4719,59,4718,58,2380,947,241,958,31,13,1,13,768,662,274,324,316,323,8,10,3,3,6,3
10/1/2020,3362,33,3361,32,1650,753,165,665,16,7,1,7,502,463,212,235,205,243,4,4,2,0,1,2
11/1/2020,2285,27,2284,26,1150,443,105,472,12,7,0,8,335,330,128,150,146,158,2,4,2,0,0,1
12/1/2020,4104,37,4104,36,2036,791,207,900,19,8,1,9,613,652,236,228,295,297,4,6,1,1,2,3
