,0
1986-01-31,
1986-02-28,-0.39433229737056985
1986-03-31,-0.2032271623964128
1986-04-30,0.018160078377551958
1986-05-31,0.1800646796889036
1986-06-30,-0.13574129912682675
1986-07-31,-0.14749992319353877
1986-08-31,0.2648020474741952
1986-09-30,-0.015352398542103796
1986-10-31,0.0020260749451406213
1986-11-30,0.021566443363920662
1986-12-31,0.05657830415550258
1987-01-31,0.146630349338011
1987-02-28,-0.04959653118510854
1987-03-31,0.03073096471026915
1987-04-30,0.020243293443626076
1987-05-31,0.03990372081018245
1987-06-30,0.032180496336260855
1987-07-31,0.061300424748894855
1987-08-31,-0.04952484431348436
1987-09-30,-0.039208521822536646
1987-10-31,0.016710137710486794
1987-11-30,-0.05193678962511594
1987-12-31,-0.08749103599372532
1988-01-31,-0.008431933628283872
1988-02-29,-0.019678371527612537
1988-03-31,-0.03627355314863001
1988-04-30,0.09785334458027917
1988-05-31,-0.024875847138740248
1988-06-30,-0.052788284800156404
1988-07-31,-0.06436069072315176
1988-08-31,0.0016748837979276843
1988-09-30,-0.06576279839290677
1988-10-31,-0.054063912122400914
1988-11-30,0.026577200157253955
1988-12-31,0.14710233111597937
1989-01-31,0.0955136297345458
1989-02-28,-0.004882312047456594
1989-03-31,0.08276053892956936
1989-04-30,0.07820448407854386
1989-05-31,-0.04591555976600592
1989-06-30,-0.0036353819871464133
1989-07-31,-0.013508277480531294
1989-08-31,-0.06277482292585468
1989-09-30,0.05312342911545054
1989-10-31,0.025514584862523115
1989-11-30,-0.012105087630821298
1989-12-31,0.0607713904494136
1990-01-31,0.0802547953460726
1990-02-28,-0.03336216495283173
1990-03-31,-0.08123255533963114
1990-04-30,-0.10119754078637078
1990-05-31,-0.01233895600336643
1990-06-30,-0.08627308398218192
1990-07-31,0.10016254063449681
1990-08-31,0.3918713338972357
1990-09-30,0.2046118850750709
1990-10-31,0.07284807440648988
1990-11-30,-0.10855148172903428
1990-12-31,-0.16987539785306094
1991-01-31,-0.07799459505295081
1991-02-28,-0.20886917173433872
1991-03-31,-0.028531616633445722
1991-04-30,0.04559914949870647
1991-05-31,0.019128067339631905
1991-06-30,-0.05038442098442575
1991-07-31,0.05839522889793214
1991-08-31,0.0134858318807356
1991-09-30,0.008851045983295336
1991-10-31,0.05961197054649281
1991-11-30,-0.03370362709904873
1991-12-31,-0.1414615711364844
1992-01-31,-0.037233904711794885
1992-02-29,0.012013781596196704
1992-03-31,-0.004781000174068684
1992-04-30,0.06685099376831127
1992-05-31,0.036188438791762145
1992-06-30,0.06501569570991705
1992-07-31,-0.027598279465421705
1992-08-31,-0.020233890248811726
1992-09-30,0.025096683061642366
1992-10-31,-0.00897260005112388
1992-11-30,-0.06414705738928195
1992-12-31,-0.04651650365288784
1993-01-31,-0.019877364934791864
1993-02-28,0.053906813724139635
1993-03-31,0.011684014172734791
1993-04-30,-0.003434358175021579
1993-05-31,-0.015074162357352261
1993-06-30,-0.04382516966673844
1993-07-31,-0.06513701317779086
1993-08-31,0.006735737401038389
1993-09-30,-0.028531886015624508
1993-10-31,0.03640844967146206
1993-11-30,-0.0889066144018571
1993-12-31,-0.13478139022581193
1994-01-31,0.03466020655363122
1994-02-28,-0.016480267520858405
1994-03-31,-0.006800876862709693
1994-04-30,0.11195484790438393
1994-05-31,0.08568855669905906
1994-06-30,0.06340323750271493
1994-07-31,0.03071442150455672
1994-08-31,-0.06685397909277624
1994-09-30,-0.05235832182647249
1994-10-31,0.015384918839479234
1994-11-30,0.019746496398912683
1994-12-31,-0.051672090402728355
1995-01-31,0.05001177427120007
1995-02-28,0.02898225744638694
1995-03-31,-0.001663718442129536
1995-04-30,0.070650921460786
1995-05-31,-0.007795442144391096
1995-06-30,-0.0678965198279835
1995-07-31,-0.0626632117225121
1995-08-31,0.03935110188899893
1995-09-30,0.01129120578326015
1995-10-31,-0.044446321113321474
1995-11-30,0.031579613152500574
1995-12-31,0.05587773986673872
1996-01-31,-0.009078721269504708
1996-02-29,0.01259393999940528
1996-03-31,0.11087818784143577
1996-04-30,0.09665268237358982
1996-05-31,-0.10450848318976291
1996-06-30,-0.03568415138494796
1996-07-31,0.04212756919740235
1996-08-31,0.027818146936377186
1996-09-30,0.09023370994058011
1996-10-31,0.0371636921785905
1996-11-30,-0.04834332053564472
1996-12-31,0.062291142760464435
1997-01-31,-0.0038424391289750837
1997-02-28,-0.1251098369336492
1997-03-31,-0.05617048242919598
1997-04-30,-0.06246650523517827
1997-05-31,0.055480443191412654
1997-06-30,-0.07783791220898095
1997-07-31,0.020740653790663366
1997-08-31,0.014601288101723675
1997-09-30,-0.007522074562825942
1997-10-31,0.07404001382574243
1997-11-30,-0.05451025914265806
1997-12-31,-0.09669219021592612
1998-01-31,-0.09184302467238004
1998-02-28,-0.04051310497570304
1998-03-31,-0.06061400826469798
1998-04-30,0.015645920435234828
1998-05-31,-0.029063251567549298
1998-06-30,-0.0833132350632515
1998-07-31,0.03233236920700877
1998-08-31,-0.050713115126425734
1998-09-30,0.10953685910841315
1998-10-31,-0.038694163135449156
1998-11-30,-0.10633779644192787
1998-12-31,-0.1361338609624445
1999-01-31,0.09792947055643175
1999-02-28,-0.040860546304944734
1999-03-31,0.2002027054016029
1999-04-30,0.16517285116653024
1999-05-31,0.02318738395389852
1999-06-30,0.011485657122574988
1999-07-31,0.11479069019116572
1999-08-31,0.056817942969218826
1999-09-30,0.1118419330822551
1999-10-31,-0.047558257638522505
1999-11-30,0.09698380122084194
1999-12-31,0.043055475968547086
2000-01-31,0.04337458442920594
